#options: 1440x1062 fps=30000/1001 timebase=1001/30000 bitdepth=8 cabac=1 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=18 lookahead_threads=8 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=8 b_pyramid=2 b_adapt=2 b_bias=0 direct=3 weightb=1 open_gop=0 weightp=2 keyint=250 keyint_min=25 scenecut=40 intra_refresh=0 rc_lookahead=60 rc=abr mbtree=1 bitrate=3500 ratetol=1.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 vbv_maxrate=4000 vbv_bufsize=7000 nal_hrd=none filler=0 ip_ratio=1.40 aq=1:1.00
in:33 out:33 type:B dur:2 cpbdur:2 q:29.86 aq:25.93 tex:6924 mv:3200 misc:1276 imb:8 pmb:348 smb:5674 d:s ref:0 ;
in:32 out:34 type:b dur:2 cpbdur:2 q:29.88 aq:30.18 tex:2211 mv:1437 misc:824 imb:10 pmb:155 smb:5865 d:s ref:0 ;
in:34 out:35 type:b dur:2 cpbdur:2 q:29.84 aq:25.77 tex:2651 mv:1687 misc:750 imb:3 pmb:154 smb:5873 d:- ref:0 ;
in:36 out:36 type:I dur:2 cpbdur:2 q:26.82 aq:19.31 tex:895296 mv:141264 misc:264 imb:6030 pmb:0 smb:0 d:s ref:;
in:37 out:37 type:P dur:2 cpbdur:2 q:26.80 aq:18.46 tex:11335 mv:1779 misc:3078 imb:51 pmb:606 smb:5373 d:s ref:0 ;
in:41 out:38 type:P dur:2 cpbdur:2 q:27.12 aq:20.06 tex:115976 mv:20102 misc:4722 imb:754 pmb:2274 smb:3002 d:s ref:0 ;
in:39 out:39 type:B dur:2 cpbdur:2 q:27.23 aq:23.19 tex:16215 mv:11543 misc:2874 imb:105 pmb:1029 smb:4896 d:s ref:0 ;
in:38 out:40 type:b dur:2 cpbdur:2 q:27.23 aq:23.52 tex:5091 mv:6477 misc:2416 imb:36 pmb:701 smb:5293 d:s ref:0 ;
in:40 out:41 type:b dur:2 cpbdur:2 q:27.23 aq:23.65 tex:8200 mv:8389 misc:2531 imb:82 pmb:795 smb:5153 d:- ref:0 ;
in:44 out:42 type:P dur:2 cpbdur:2 q:27.38 aq:20.33 tex:103414 mv:19316 misc:4494 imb:669 pmb:2111 smb:3250 d:s ref:0 ;
in:42 out:43 type:B dur:2 cpbdur:2 q:27.60 aq:21.60 tex:13571 mv:10499 misc:3154 imb:75 pmb:1168 smb:4787 d:s ref:0 ;
in:43 out:44 type:b dur:2 cpbdur:2 q:27.59 aq:22.75 tex:925 mv:1219 misc:1616 imb:11 pmb:332 smb:5687 d:- ref:0 ;
in:48 out:45 type:P dur:2 cpbdur:2 q:27.10 aq:19.75 tex:150306 mv:25278 misc:4072 imb:1013 pmb:2302 smb:2715 d:s ref:0 ;
in:46 out:46 type:B dur:2 cpbdur:2 q:27.47 aq:23.44 tex:15132 mv:11396 misc:2888 imb:127 pmb:1023 smb:4880 d:s ref:0 ;
in:45 out:47 type:b dur:2 cpbdur:2 q:27.50 aq:22.70 tex:4896 mv:6130 misc:2622 imb:31 pmb:777 smb:5222 d:s ref:0 ;
in:47 out:48 type:b dur:2 cpbdur:2 q:27.49 aq:25.09 tex:11640 mv:10067 misc:2837 imb:90 pmb:957 smb:4983 d:- ref:0 ;
in:55 out:49 type:P dur:2 cpbdur:2 q:25.60 aq:19.57 tex:160334 mv:25163 misc:4391 imb:943 pmb:2730 smb:2357 d:s ref:0 ;
in:51 out:50 type:B dur:2 cpbdur:2 q:27.20 aq:21.99 tex:24703 mv:15527 misc:3298 imb:125 pmb:1422 smb:4483 d:s ref:0 ;
in:49 out:51 type:b dur:2 cpbdur:2 q:27.24 aq:23.58 tex:1049 mv:1168 misc:1767 imb:6 pmb:412 smb:5612 d:s ref:0 ;
in:50 out:52 type:b dur:2 cpbdur:2 q:27.24 aq:23.95 tex:4718 mv:4362 misc:2152 imb:19 pmb:570 smb:5441 d:s ref:0 ;
in:52 out:53 type:b dur:2 cpbdur:2 q:27.23 aq:24.16 tex:11096 mv:7988 misc:2524 imb:76 pmb:782 smb:5172 d:- ref:0 ;
in:53 out:54 type:b dur:2 cpbdur:2 q:27.23 aq:24.23 tex:12510 mv:10728 misc:2978 imb:90 pmb:1038 smb:4902 d:- ref:0 ;
in:54 out:55 type:b dur:2 cpbdur:2 q:27.23 aq:25.60 tex:1518 mv:967 misc:1843 imb:4 pmb:431 smb:5595 d:- ref:0 ;
in:59 out:56 type:P dur:2 cpbdur:2 q:25.17 aq:20.00 tex:119087 mv:23306 misc:4047 imb:814 pmb:2172 smb:3044 d:s ref:0 ;
in:57 out:57 type:B dur:2 cpbdur:2 q:25.91 aq:21.20 tex:27520 mv:16736 misc:3824 imb:174 pmb:1660 smb:4196 d:s ref:0 ;
in:56 out:58 type:b dur:2 cpbdur:2 q:26.03 aq:22.26 tex:8232 mv:7515 misc:3221 imb:56 pmb:1019 smb:4955 d:s ref:0 ;
in:58 out:59 type:b dur:2 cpbdur:2 q:26.05 aq:22.06 tex:9692 mv:8469 misc:3047 imb:74 pmb:952 smb:5004 d:- ref:0 ;
in:62 out:60 type:P dur:2 cpbdur:2 q:25.48 aq:19.30 tex:159297 mv:21930 misc:4549 imb:791 pmb:2798 smb:2441 d:s ref:0 ;
in:60 out:61 type:B dur:2 cpbdur:2 q:25.72 aq:20.25 tex:31562 mv:12382 misc:4384 imb:219 pmb:1646 smb:4165 d:s ref:0 ;
in:61 out:62 type:b dur:2 cpbdur:2 q:25.72 aq:20.59 tex:1791 mv:1235 misc:1934 imb:7 pmb:429 smb:5594 d:- ref:0 ;
in:67 out:63 type:P dur:2 cpbdur:2 q:23.92 aq:19.79 tex:103424 mv:22672 misc:4328 imb:854 pmb:2176 smb:3000 d:s ref:0 ;
in:64 out:64 type:B dur:2 cpbdur:2 q:25.51 aq:21.10 tex:24430 mv:12029 misc:3821 imb:125 pmb:1349 smb:4556 d:s ref:0 ;
in:63 out:65 type:b dur:2 cpbdur:2 q:25.55 aq:21.52 tex:7225 mv:4854 misc:2753 imb:40 pmb:686 smb:5304 d:s ref:0 ;
in:65 out:66 type:b dur:2 cpbdur:2 q:25.55 aq:22.00 tex:12202 mv:9052 misc:3154 imb:82 pmb:1006 smb:4942 d:- ref:0 ;
in:66 out:67 type:b dur:2 cpbdur:2 q:25.55 aq:19.92 tex:1727 mv:1345 misc:1936 imb:2 pmb:472 smb:5556 d:- ref:0 ;
in:68 out:68 type:P dur:2 cpbdur:2 q:22.21 aq:18.39 tex:73690 mv:18711 misc:3807 imb:603 pmb:1968 smb:3459 d:s ref:0 ;
in:69 out:69 type:I dur:2 cpbdur:2 q:20.03 aq:12.74 tex:1609804 mv:205504 misc:324 imb:6030 pmb:0 smb:0 d:s ref:;
in:72 out:70 type:P dur:2 cpbdur:2 q:22.82 aq:14.26 tex:453398 mv:29992 misc:3794 imb:1136 pmb:3801 smb:1093 d:s ref:0 ;
in:70 out:71 type:B dur:2 cpbdur:2 q:22.82 aq:18.14 tex:45709 mv:15733 misc:3534 imb:109 pmb:1352 smb:4569 d:s ref:0 ;
in:71 out:72 type:b dur:2 cpbdur:2 q:22.82 aq:19.13 tex:38215 mv:15038 misc:3363 imb:66 pmb:1242 smb:4722 d:- ref:0 ;
in:73 out:73 type:P dur:2 cpbdur:2 q:22.87 aq:13.88 tex:33787 mv:2181 misc:4320 imb:34 pmb:1038 smb:4958 d:s ref:0 ;
in:77 out:74 type:P dur:2 cpbdur:2 q:22.86 aq:14.58 tex:386462 mv:26007 misc:4715 imb:640 pmb:3702 smb:1688 d:s ref:0 ;
in:75 out:75 type:B dur:2 cpbdur:2 q:22.89 aq:17.66 tex:59694 mv:16816 misc:3826 imb:58 pmb:1559 smb:4413 d:s ref:0 ;
in:74 out:76 type:b dur:2 cpbdur:2 q:22.89 aq:19.30 tex:21110 mv:10514 misc:3112 imb:45 pmb:979 smb:5006 d:s ref:0 ;
in:76 out:77 type:b dur:2 cpbdur:2 q:22.89 aq:19.42 tex:16586 mv:9278 misc:3240 imb:24 pmb:957 smb:5049 d:- ref:0 ;
in:81 out:78 type:P dur:2 cpbdur:2 q:23.19 aq:14.86 tex:328694 mv:22411 misc:5199 imb:429 pmb:3447 smb:2154 d:s ref:0 ;
in:79 out:79 type:B dur:2 cpbdur:2 q:23.21 aq:17.20 tex:63820 mv:16271 misc:4077 imb:48 pmb:1660 smb:4322 d:s ref:0 ;
in:78 out:80 type:b dur:2 cpbdur:2 q:23.21 aq:17.55 tex:1341 mv:967 misc:2156 imb:3 pmb:424 smb:5603 d:s ref:0 ;
in:80 out:81 type:b dur:2 cpbdur:2 q:23.21 aq:19.69 tex:15929 mv:7898 misc:2893 imb:25 pmb:796 smb:5209 d:- ref:0 ;
in:85 out:82 type:P dur:2 cpbdur:2 q:23.33 aq:15.28 tex:302812 mv:18745 misc:5251 imb:323 pmb:3139 smb:2568 d:s ref:0 ;
in:83 out:83 type:B dur:2 cpbdur:2 q:23.36 aq:18.50 tex:34931 mv:11152 misc:3349 imb:31 pmb:1103 smb:4896 d:s ref:0 ;
in:82 out:84 type:b dur:2 cpbdur:2 q:23.37 aq:19.79 tex:17248 mv:7843 misc:3005 imb:20 pmb:848 smb:5162 d:s ref:0 ;
in:84 out:85 type:b dur:2 cpbdur:2 q:23.36 aq:17.23 tex:1301 mv:981 misc:1870 imb:7 pmb:352 smb:5671 d:- ref:0 ;
in:89 out:86 type:P dur:2 cpbdur:2 q:23.26 aq:15.56 tex:260531 mv:15470 misc:5311 imb:210 pmb:2745 smb:3075 d:s ref:0 ;
in:87 out:87 type:B dur:2 cpbdur:2 q:23.39 aq:18.29 tex:31490 mv:11183 misc:3591 imb:36 pmb:1160 smb:4834 d:s ref:0 ;
in:86 out:88 type:b dur:2 cpbdur:2 q:23.39 aq:20.78 tex:10802 mv:5772 misc:2658 imb:9 pmb:650 smb:5371 d:s ref:0 ;
in:88 out:89 type:b dur:2 cpbdur:2 q:23.39 aq:19.70 tex:8860 mv:5487 misc:2805 imb:21 pmb:634 smb:5375 d:- ref:0 ;
in:93 out:90 type:P dur:2 cpbdur:2 q:23.88 aq:15.60 tex:450847 mv:24846 misc:3459 imb:516 pmb:4420 smb:1094 d:s ref:0 ;
in:91 out:91 type:B dur:2 cpbdur:2 q:23.87 aq:17.48 tex:49300 mv:15290 misc:5114 imb:117 pmb:2044 smb:3869 d:s ref:0 ;
in:90 out:92 type:b dur:2 cpbdur:2 q:23.86 aq:17.97 tex:2638 mv:1252 misc:2918 imb:4 pmb:627 smb:5399 d:s ref:0 ;
